method,timestamp,unix_ts,parsed_artist,parsed_title,raw_title,raw_subtitle,url
title_split,2026-05-26T01:59:06.217Z,1779760746,Bring Me The Horizon,"""Blessed With A Curse""","Watched Bring Me The Horizon - ""Blessed With A Curse""",Epitaph Records,https://music.youtube.com/watch?v=okCcL8daFAg
title_split,2026-05-26T01:45:36.964Z,1779759936,Bring Me The Horizon,"""Visions""","Watched Bring Me The Horizon - ""Visions""",Epitaph Records,https://music.youtube.com/watch?v=QuQW1vkDA1c
title_split,2026-05-26T01:40:48.096Z,1779759648,Bring Me The Horizon,"""Alligator Blood""","Watched Bring Me The Horizon - ""Alligator Blood""",Epitaph Records,https://music.youtube.com/watch?v=ShYBjIfJX1A
title_split,2026-05-26T01:21:40.712Z,1779758500,Bring Me The Horizon,"""It Never Ends""","Watched Bring Me The Horizon - ""It Never Ends""",Epitaph Records,https://music.youtube.com/watch?v=E_Vez_aKIyI
title_split,2026-05-26T01:16:52.077Z,1779758212,Bring Me The Horizon,"""Anthem""","Watched Bring Me The Horizon - ""Anthem""",Epitaph Records,https://music.youtube.com/watch?v=2nUlE4_JZUk
title_split,2026-05-25T03:35:36.267Z,1779680136,BRING ME THE HORIZON,Pray for Plagues,Watched BRING ME THE HORIZON - Pray for Plagues,VisibleNoiseRecords,https://music.youtube.com/watch?v=AWggPLXeOkU
title_split,2026-05-18T01:13:26.137Z,1779066806,Enter Shikari,Find Out The Hard Way... (Official Video),Watched Enter Shikari - Find Out The Hard Way... (Official Video),Enter Shikari,https://music.youtube.com/watch?v=iYC-vjBSGXE
title_split,2026-05-14T04:00:12.035Z,1778731212,Enter Shikari,A Kiss For The Whole World x - (Official Video),Watched Enter Shikari - A Kiss For The Whole World x - (Official Video),Enter Shikari,https://music.youtube.com/watch?v=lwjQN7jWa0M
title_split,2026-05-03T02:04:35.628Z,1777773875,AURORA,Runaway,Watched AURORA - Runaway,iamAURORAVEVO,https://music.youtube.com/watch?v=d_HlPboLRL8
title_split,2026-04-28T01:19:16.225Z,1777339156,Broadside,Coffee Talk,Watched Broadside - Coffee Talk,BroadsideVEVO,https://music.youtube.com/watch?v=lEbaT5gvrP8
title_split,2026-04-27T01:16:56.610Z,1777252616,BILMURI,THE END (LIVE),Watched BILMURI - THE END (LIVE),Bilmuri,https://music.youtube.com/watch?v=GmjZYP8SFqI
title_split,2026-04-18T05:35:25.581Z,1776490525,Enter Shikari,A Kiss For The Whole World x - (Official Video),Watched Enter Shikari - A Kiss For The Whole World x - (Official Video),Enter Shikari,https://music.youtube.com/watch?v=lwjQN7jWa0M
title_split,2026-04-12T04:17:02.248Z,1775967422,Bilmuri,WAVES [OFFICIAL VISUALIZER],Watched Bilmuri - WAVES [OFFICIAL VISUALIZER],Bilmuri,https://music.youtube.com/watch?v=8UY5WEECAPs
title_split,2026-04-12T04:14:41.565Z,1775967281,Bilmuri,HONEST [OFFICIAL VISUALIZER],Watched Bilmuri - HONEST [OFFICIAL VISUALIZER],Bilmuri,https://music.youtube.com/watch?v=b9j912Bg4cI
